"story","gender"
"בוקר אחד קמתי סהרורי יצאתי מהמיטה קצת מטושטש , קמתי בצעדים כבדים אל עבר המטבח במנוסה לאחר כוס מים קרים . נכנסתי למטבח על מכנסיים קצרים וחולצה מקומטת שמתנוססת עליי כמו דגל שעף באוויר עם כיוון הרוח,נכנסתי למטבח ולקחתי מהארון שנמצא בגובה הכתף  שלי כוס זכוכית נקייה וחלקה ללא סימני לכלכוך כלל ,מזגתי לתוכה מים צוננים שלקחתי מתוך הבקבוק מי עדן חצי מלא שהיה נמצא בתוך המקרר ושתיתי לרוויה.
תוך כדי הלגימה התחיל להתבהר לי המצב מסביבי , בשניות מספר נפלה לי הכוס זכוכית מהיד ורגליי נחתכו מחוסר תשומת לב , נכנסתי לפאניקה , יש ביטוי שאומר ""ראיתי שחור בעיניים"" וכך באמת היה, זעזוע עיניים ,רגליי רעדו ועיניי הסתובבו ,כל הבית היה הפוך ,מרוב חוסר הריכוז לא הבחנתי בדברים בדרך מחדר השינה ממש כשהלכתי לשתות מים.
 תוך שאני מתהלך ומחפש עקבות בשאר חלקי הבית רגליי פצועות ומדממות ,עקובות מדם שמתפזר על הרצפה בריח עדין מתקתק שמופץ בכל הבית.
רק לצורך התאור המצחין מדפים קרסו ארונות נצבעו בגרפיטי וקולפו, מראות נשברו , רצתי מהר לכספת ראיתי אותה שבורה ופרוצה לגורמים כל התכשיטים של אמי נעלנו כלא היו , צעקתי מרוב עצבים מבי לחשוב על הסבל שאני חווה ועל מה שאצטרך לעבור בסידור הבית לשם כך.
פרצו לנו הבייתה צעקתי לעבר המרפסת ,שדדנו אותנו, בזזנו אותנו לא הראו טיפה של גילוי רחמים פתאום התחלתי להבין למה קמתי בערפול חושים ,השודדים כנראה סיממו אותנו ,פושעים עלובים ,קטנים ומגעילים, הקללות והאיבה כלפיהם לא ניתנת לתיאור. 
הבית היה הפוך לגמרי הכל היה שבור ורפוס ,הווילונות נמשכו ונתלשו ,מראה קשה , אחת מהקונספירציות שלי הייתה שהאנשים שביצעו את המעשה הנעלב הזה רצו בזה יותר מהשלל ואף יותר מהכסף ,פשוט רצו להרוס כדי לספק את רצונם הנבזה , כופיי טובה עלובי חיים .","m"
"לחבר שלי היה יום הולדת וחיפשנו מה אפשר לעשות לו ביום הולדת על מנת לחגוג אותה בצורה הכי טובה שיש מכיוון שחבר שלי אוהב את השטח והרפתאות אמרנו שנעשה ערב מסודר עם כל החברים בחוף פלמחים נארגן שם על האש גדול נביא רמקולים גדולים אורות סככה גדולה לקירוי המקום ואוהלים בכדי שנישן שם כולם ביחד , הלכנו המון חברים שחלקם באו עם בנות הזוג כולל אותי לחוף והתחלנו בהובלות הדברים אל המיקום בחוף בו רצינו לארגן את כל המסיבה הגענו עם מכוניות עמוסות בדברים לכניסה של חוף פלמחים וראינו כי חסמו את הכניסה עם מכוניות אל המקום עם שער ואי אפשר היה להגיע עם האוטו עד למיקום בו רצינו לארגן את המסיבה אז החלטנו להוריד את המכוניות ולעשות הובלות של הדברים מהמכונית אל המקום בנגלות המרחק מהמכונית אל המיקום של המסיבה בהליכה ברגל היה בערך 13 דקות וזה בידיים ריקות , היינו צריכים לעשות כל פעם את הדרך הזאת עם דברים בידיים שחלקם שוקלים לא מעט בכלל כגון גנרטוק יתדות לסככה האוהלים והתיקים עם הביגוד שלנו , תהליך ההתמקמות כולל ההובלה של הדברים וההרכבה שלהם לקח לנו כ4-5 שעות ומזל שהגענו מוקדם בבוקר הכדי לעשות את זה לאחר מכן ישבנו כל החברים שמנו שירים ברמקולים הגדולים שתינו המון אלכוהול והתחלנו לעשות על האש היה ממש כיף ונהנינו מכל רגע רק מכיוון שהגענו כל כך מוקדם וסחבנו כל כך הרבה דברים במשך תהליך ההובלה מרביתנו היינו עייפים ולכן הערב החזיק עד מאוחר אך לא עד מאוחר כמו שציפינו וחלקנו היינו עייפים מידי ונרדמנו באוהלים בבוקר לאחר מכן הלכנו אני ועוד כמה חברים לקנות אוכל להביא לכולם נסענו להביא בורקסים ג'חנונים ומלבי לכולם וחזרנו לאכול כולנו ביחד , מכיוון שהיינו שם בתקופת הקורונה יום למחרת בין הבוקר לצהריים באו אלינו משטרה וביקשו מאיתנו להתפנות מהמקום מכיוון שלטענתם היינו יותר מידי אנשים אך סירבנו בידיעה שהחוק אוסר על מעל 10 אנשים ולא היינו 10 אנשים אז אין סביה להתפנות במיוחד שאנחנו על החוף במקום ציבורי באוויר הפתוח והיה מותר באותה התקופה חיכינו עד אחרי צהרריים שתצא שבת מכיוון שחלק מהחבריםשומרים שבת ואז יצאנו לכיוון הבית בדרך עצרנו לקנות משהו לאכול כולנו ואחרי זה הגענו הביתה , איך שהגענו אני וחברה שלי הביתה ישר עלינו למיטה לישון היינו כל כך עייפים שהיינו חייבים לנוח מהטיול הזה , בסופו של דבר במחשבה לאחור הטיול היה ממש כיף מהנה וחוייתי אך אין ספק שבפעם הבאה אנחנו נעדיף לעשות את זה דרך חברה שתארגן את הכל בשבילנו כולל מיקום מסודר וההקמה של הדברים השונים.","m"
"השנה האחרונה הייתה שנת קורונה, שנה לא פשוטה בקנה מידה אוניברסלי וגם בעבורי באופן אישי. 
אשתף אתכם בכך שאני וארוסתי החלטנו להתחתן טרם החלה הקורונה להתפשט בכל העולם. 
תכננו חתונה מפוארת והמונית, חתמנו חוזה מול בעל אולם אירועים, החלה תפירת שמלות הכלה- שלוש במספר, נבחרה החליפה המרשימה, שולמה מקדמה לצלם הטוב ביותר באזור וכמו כן לעוד ספקים שיגשימו את החלומות כמו פירוטכניקה (עשן, בועות, בלונים ועוד שלל גימיקים) וכמובן הכנת רשימת מוזמנים ארוכה הכוללת את הקרובים והרחוקים ועוד המון תכנונים והכנות עד לפרטים הקטנים כמו בחירת צבע מפיות ומבחר מנות מכל טוב. 
כחודש לפני החתונה החלה התפרצות הקורונה, נכסנו לסגר, הכל הפך להיות תחת חסותו של חוסר הודאות המוחלט! 
הרגשנו אבודים לא ידענו כיצד להתמודד עם המצב, שיחות רבות עם כל הקרובים, תהיות מה נעשה ואיך נתמודד עם המצב וכל זה תחת ענן גדול של תקוה שנתעורר בבוקר ונגלה שכל זה בכלל היה סיוט שהזינו.
טוב אז כמו שאתם יודעים כבר זו לא הייתה הזיה אלה מציאות של ממש, אז בהתאם למציאות התחלנו להילחץ מהמצב זאת מאחר שהפקדנו כספים ומקדמות עבור כל אותם בעלי עסקים השותפים להפעלת האירוע המתוכנן. 
אני ואשתי שתחיה, החלטנו שלא משנה מה אנחנו מתחתנים בתאריך המיועד אותו קבענו מבעוד מועד, למען האמת זו הייתה הקרקע היציבה היחידה שלנו באותה תקופה כיוון וזה היה הדבר היחידי שהיה ברור וידעו לנו מראש. 
אקצר, שבוע לפני החתונה- בחדשות החלו חדבר על פתיחת המשק בהדרגה. 
בבוקר יום שני הוחלט כי ""אירועים דתיים (כמו חתונות, בר מצוות, בריתות וכדו') יוכלו להתקיים בהתקהלות של עד 50 איש באוויר הפתוח. 
אוכל לתאר את הרגשות שלנו על קצה המזלג כצהלה ושמחה שלא נראתה כמותה. 
התחלנו לבכות ולהתרגש מהמחשבה שנוכל להזמין לחתונה שלנו את בני ובנות הדודים שלנו. 
עם הידיעה הבנו שעלינו לארגן אירוע שהולם אירוע ובו 50 אורחים, ישנם תנאים שצריך לדאוג להם כמו מקום שיוכל להכיל את מספר האנשים הנ""ל באויר הפתוח, ספקים שיוכלו להירתם לעזרתנו.
לסיום לא אשאיר אתכם במתח, התחתנו בגן אירועים מדהים, עם 50 אנשים שכל אחד מהם היה עולם עבורנו, הרגשנו את כל האורחים אחד אחת ובעיקר היה אותנטי ובלתי נשכח. 
סוף.","m"
"לפני כחצי שנה עברתי לגור בצפון עם בת זוגתי, עברנו לקיבוץ עמיעד ובגלל המצב עם הקורונה שנינו יכולנו ללמוד ולעבוד משם ולא הייתה לנו בעיית הגעה למקום העבודה בגלל מרחק.
בהתחלה היה לנו קצת קשה להתרגל מקום החדש ולהתנהלות שלנו ביחד בבית במרחק גדול מכל מה שאנחנו מכירים אבל עברנו את האתגר הזה בצורה טובה.
לאחר חודשיים בערך בקיבוץ התחלתי לעבוד בקטיף האבוקדואים של הקיבוץ, בכל שנה לקראת עונת האבוקדואים מחפשים עובדים שיעזרו לבצעה את הקטיף, אז בשעות הפנאי שהיו לי הצטרפתי לקטיף וזאת הייתה חוויה נהדרת בשבילי, לא הייתי רגיל לעבוד עבודת כפיים ולהיות על הרגליים במשך שעות רצופות ורבות אבל אני חושב שהחוויה הזאת דווקא נתנה לי פרספקטיבה לחיים וגרמה לי להעריך ולחשוב על דברים שלא הייתי חושב עליהם ביום יום.
בכללי החוויה בקיבוץ הייתה מאוד מאוד חיובית עבורי ועבור בת זוגתי, שנינו הרגשנו שהתקרבנו הרבה יותר בתקופה הזאת וזכינו לחוות משהו שבלי הקורונה כנראה שלא היה קורה.
למרות החוויה החיובית שהייתה לנו אני לא חושב שאני ארצה לעשות משהו כזה שוב, בתור אחד שגדל ברמת גן אני חושב שהמרחק והנתק הזה שקיים באזורים פחות ""עמוסים"" כמו קיבוצים ומושבים בצפון ובדרום הוא קצת יותר מידי מוגזם בשבילי, צריך לנסוע נסיעה של מינימום חצי שעה כדי להגיע לסופר גדול, מסעדות, קניונים או אפילו תחנות דלק דברים שבמרכז יש במרחק של 5-10 דקות הליכה כמעט בכל מקום. בנוסף מקומות העבודה סוגי המשרות וכמות המשרות הרבה יותר מצומצמות באזורים הללו ככה שבתור אחד שמעוניין לעבוד בחברת הייטק לא הצלתי למצוא יותר מידי חברות שיש להם משרדים באזורים הללו , רק באזור חיפה שהמרחק נסיעה לשם הוא בערך אותו דבר מהמרכז.
בנוסף בתקופת הקורונה לא הורגש שהם ממש מרגישים שקיימת מגיפה בעולם, רוב אנשי הקיבוץ לא מסתובבים עם מסכות וכשדיברנו עם אנשים מתכננים להתחסן אז רובם לא ממש רצו.. בקיצור אני הרגשתי שהם דיי מנותקים מהרבה דברים שאני מרגיש שהם חלק מאוד חשוב בחיי היום יום שלי אשר מתקיימים במרכז.
יכול להיות שאני זה שחיי בבועה והם אלו שחיים את ה""אמת"" או את החיים ה""טובם"" יותר אבל אני עדיין מרגיש שאלו לא החיים בשבילי.
אולי בעתיד אני אעבור לגור באזור יותר מבודד כשאהיה בפנסיה וארצה להיות בפינה השקטה שלי לא לעשות יותר מידי ושיהיו לי כמה שפחות דאגות ובעיות.","m"
"יום חמישי רגיל, תמיד מתחיל לעבור טיפה מאוחר יותר כדי ללכת בבוקר לרוץ או לרכב על אופניים.
גם ככה כולם יוצאים מוקדם בחמישי ויש פקקים מטורפים בחוזר, אז לפי דעתי עדיף להתחיל מאוחר יותר ואז להימנע מהפקקים הנוראים האלה של תל אביב(באמת לא מבין מי תכנן את העיר הזאת ככה)
הגיע השעה ואני יוצא לעבודה לעוד יום רגיל בעבודה, מגיע מתחיל לעבוד.
חשוב לציין שאני עובד במקום ללא קליטה ולכן אני לא זמין בפלאפון במהלך היום אלא אם כן אני יוצא לאזור עם קליטה.
בערך בשעה 18:00 אני יוצא החוצה לטלפון לא נשאר לי הרבה זמן לסיום יום העבודה גם ככה אבל אמרתי יאללה נראה מה קורה בעולם החיצוני.
לפתע אני רואה המון שיחות שלא נענו והמון הודעות.
ישר אני מבין שמשהו קרה לאבא שלי, אני מתקשר לבת זוג שלו והיא אומר שהם בבית חולים בטיפול נמרץ
ושאבא שלי התחיל להקיא דם ככה פתאום עד איבוד הכרה.
יצאתי מהעבודה בטיל, עובר על חוקי התנועה (מהירות מופרזת), מגיע לבית חולים ומבין שהוא הגיע במצב קשה ומנסים לייצב אותו (הבן אדם גם ככה במצב קשה – הוא חולה סרטן).
אני חושב שהשעה היית 18:20, עד 20:00 לא היה חדש על המצב ולאחר מכן הודיעו לנו שהוא בסדר והוא מקבל מנות דבר ונראה שהכל מאחורינו.
בקשנו להעביר אותו לבית חולים שמטפל בו ברגיל(לפי דעתי בית חולים יותר מקצועי ולכן העדפתי שאת המשך הטיפול נעשה שם)
בערך בשעה 2 בלילה הרק הגיע האמבולנס על מנת להעביר אותו, איפשהו הרגשתי שצוות הבית חולים הרגיש הקלה מסויימת בזה שאנחנו מעבירים את אבא שלי למקום אחר והוא לא צריך להיות בידיים שלהם.
בכל מקרה אמרתי להם תודה רבה על הכל ויצאנו לדרך.
אחרי שהגענו לבית חולים השני המקצועי יותר הציעו לנו לעשות 2 ניתוחים על מנת לשלול את המצב שהדבר הזה יכול לקרות שוב וגם אם יקרה שוב אז חוץ מאיבוד דם לא תהיה סכנה אחרת לחיים(לא חנק וכו)
כמובן שאחרי התייעצות מהירה הסכמנו לבצע את הניתוחים.
בסה""כ עוד יום חמישי","m"
"בשנה האחרונה חוויתי את מגפת הקורונה שהכריח את כל העולם להיסגר בבית, ואת הסטונדטים לעבור ללימודים בזום. מצד אחד חווית הלימודים בזום הייתה חסכנית מאוד בזמן, מכיוון שלא הייתי צריך להגיע למכון ולבזבז זמן בנסיעות וכו', אולם מצד שני חווית הלמידה הייתה שונה באופן משמעותי מחווית הלמידה בכיתה רגילה. דוגמא לכך היא ההרגשה שאנחנו לא באמת בשיעור אמיתי, מרגיש כאילו אני רואה הקלטה של השיעור, מכיוון שישנם מרצים שלא נוטים לערב את התלמידים בשיעור אז קיימת הרגשה שאני צופה בהקלטה של השיעור. בנוסף מרצים שכן היו מנסים לערב את התלמידים,  לצערי הרב, נכשלו בכך מכיוון   שכנראה אף אחד לא מרגיש בנוח לענות בזום על שאלות במיוחד שההרצאה מוקלטת. החיסרון הכי גדול בלימודים בזום היה חוסר של לוח לרוב המרצים, מאיזשהי סיבה מישהו חשב שזה רעיון טוב לתת למרצים ללמד חומרים שדורשים כתיבה על הלוח בעזרת מקלדת ועכבר, לא סיפקו למרצים כלים כמו לוח אלקטרוני, ולאלה שהיה, כנראה שהיו צריכים לשלם על זה בעצמם. הרבה פעמים חשבתי לעצמי, אם למרצים לא דואגים כמו שצריך אז למה שידאגו לתלמידים? זה מרגיש מוזר ללמוד באווירה כזאת, לפחות אצלי החוויה הייתה רחוקה מאוד מלימודים במוסד להשכלה גבוהה, אמנם למדנו חומר ברמה גבוהה אבל הייתה הרגשה של חוסר מקצעיות באופן כללי. דבר נוסף היה המבחנים בזום במהלך הקורונה, זה ברור שכולם העתיקו אחד מהשני וחבל על כך, מכיוון שהציונים שאנשים קיבלו אחרי שבאמת השקיעו ולמדו במהלך הסמסטר לא שיקפו את הרמה שלהם לעומת האחרים, זה עוד דבר שגרם לי לחשוב כמה קצת חשבו על התלמידים שלמדו במכון.  הקורונה תרמה הרבה מבחינת הזמן הפנוי שהיה לי בעיקר בגלל שמקום העבודה שלי הוציא אותי לחל""ת למשך זמן רב מאוד, אבל  מבחינתי זה היה יתרון מכיוון שלמדתי הרבה דברים חדשים, בין הדברים שלמדתי היה פיתוח אתרים, וגם עזרתי לחברה שלי לבנות אתר שהיא משתמשת בו בשביל הבלוג האישי שלה, האתר נבנה בצורה שמדמה את האתרים כמו שהיו בתקופת ה-myspace והיה די כיף לבנות אותו. דבר נוסף שקרה בעבקות הקורונה זה החיסונים, לפני שלושה שבועות קיבלתי את החיסון הראשון, אחרי החיסון הרגשתי די רע, לא חשבתי שארגיש ככה וזה די הפתיע אותי, אבל זה היה לזמן קצר אז הכל בסדר. מעבר לזה חווית הקורונה הייתה מאוד ייחודית, לא חשבתי שבמהלך החיים שלי אחווה תקופה כזאת מוזרה וגם לכל כך הרבה זמן, כבר מעל שנה שאנחנו נמצאים במצב הזה. זה הכל לחווית הקורונה שלי.","m"
"בסמסטר קודם אני וכמה חברים ללימודים קבענו להיפגש במכללה על מנת ללמוד יחד לקראת מבחן שהיה לנו. בעקבות מגפת הקורונה החלטתי לנסוע ברכב עקב הלחץ לנסוע ולהידבק בתחבורה ציבורית. באותו בוקר הייתי צריך להגיע למכללה בשעה 8:00, קמתי מוקדם התארגנתי ויצאתי מהבית כשעתיים לפני על מנת להספיק להגיע ולהימנע מהפקקים הרבים שיש בימי ראשון. יצאתי מהבית והתחלתי בנסיעה לכיוון, בדרכי הייתי צריך לאסוף חבר נוסף שגר בעיר אחרת בדרך למכללה. הגעתי לעיר בה הוא גר לאחר כחצי שעה נסיעה ואספתי אותו והמשכנו בנסיעה הלאה למכללה. בדרך פתאום נדלקה לי נורה ברכב, עיגול עם שיניים וסימן קריאה באמצע מה שאומר שיש לי פנצ׳ר. עכשיו אני לא מבין מה נפל עליי, וחושב לעצמי שעוד לא נכנסתי לתל- אביב ואני צריך להיות ב8:00 במכללה ואין מצב שאני מספיק להגיע בזמן ולא לעכב את שאר החברים. נאלצתי לעצור בצד בזמן הנסיעה ולהחליף לגלגל ספייר. מרים את הבגאז׳ מוציא את הגלגל ספייר ואת כל הציוד שצריך כדי להחליף לגלגל חדש, מחפש את הג׳ק(מכשיר המגביה את הרכב) ולא מוצא. מנסה שוב לחפש בכל הבאגז על מנת למצוא את החלק הכי חשוב, כדי שאוכל להחליף את הגלגל אבל ללא הצלחה. כבר עכשיו התחלתי להילחץ, אני עומד בצד הכביש מנסה להחליף גלגל, שיא הפקקים ולא מספיק בזמן, בגלל הלחץ כבר רציתי לוותר ולחזור לבית אבל מהר מאוד נזכרתי שאין לי איך ושאני לא רוצה כמובן ""לדפוק"" את החבר שאיתי. פניתי לחבר שלי שאלתי אותו מה אפשר לעשות עכשיו והאם יש טעם לעצור מכוניות בדרך אולי רכב נחמד יסכים לעצור ולבזבז מהזמן היקר שלו ויתרום לנו ג׳ק. אני החלטתי לוותר ולהתקשר לביטוח שיבוא גרר לקחת את הרכב למוסך להחליף גלגל, זה גם רכב שלא שייך לנו אלא רכב מושכר אז זו האופציה הכי טובה שחשבתי עליה. מסתבר שהחבר שלי החליט לעמוד על צד הכביש ולבקש עזרה, לאחר דקות ארוכות שהיתי מאוד פסימי עצר רכב סקודה לבנה שממנה יצא בחור נחמד שהציג את עצמו בתור שוטר. האמת שהופתעתי מאוד וחשבתי שהוא רוצה להעיר לנו על זה שאנחנו עומדים בצד הכביש אבל הוא היה בחור נחמד מאוד, אמרנו לו שאנחנו תקועים בלי יכולת להחליף פנצ׳ר בגלגל והוא הביא לנו את המכשיר שהיה חסר לנו ועזר לנו להחליף את הגלגל. לסיום, באיחור של שעתיים לבסוף הגענו ליעד.. כנראה שפעם הבאה אסע ברכבת...","m"
"בשנה האחרונה למרות שלא היו יותר מידיי דברים לעשות, כי קורונה וזה דווקא הצלחתי להוציא משהו טוב. בין הסגרים נסענו עם חברים לטיול קמפינג בנהר הירדן של שלושה ימים. התארגנו וקנינו הכל מראש כמובן שבעיקר חטיפים כי כל שאר הדברים לא באמת מעניינים. היה דיי קפוא אבל בכל זאת החלטנו להיכנס למים, זאת הייתה טעות קשה כי חלק מאיתנו חטפו צינון דיי קשוח ברגע שחזרנו הביתה. בדך כלל אני לא אוהבת את כל העיניין הזה של לישון בחוץ וחרקים ונמלים בכל מקום אבל את האמת גיליתי שכשעושים את זה עם האנשים הנכונים אז אפשר אפילו להנות מזב קצת, התחלנו את הטיול עם מסלול הליכה קצר ללכת זה לא כיף אז פחות נהנתי בשלב הזה, אחר כך מצאנו מקום יחסית נורמאלי שאפשר להקים בו את האוהל, סידרנו הכל והתחלנו לשבת וסתם לדבר, שחכנו לרגע מכל הטלפונים והיינו רק אחד עם השני. כולנו כבר הספקנו לשכוח מה זה להיות בלי הטלפון למשך יותר משעה והטיול הזה הזכיר לנו כמה לחבורה הזאת יש מזל שיש לנו אחד את השני. כמובן ששתינו וצחקנו, חזרנו לילדות ושיחקנו בכל מיני משחקי קופסא שדאגנו להביא מראש והרגשנו באמת עוד פעם כמו ילדים קטנים עוד לפני שהייתה כל הטכנולוגיה של הטלפונים ולפני שכולם היו דבוקים למסכים. הלכנו לישון סופר מאוחר בלילה ולמחרת כשקמנו הכנו לעצמנו ארוחת בוקר מטורפת, נכנסנו גם להתרענן במים כמובן למרות שהיה ממש ממש קר. החלטנו לאסוף את הדברים שלנו ולנסות למצוא מסעדה טובה באיזור כי כבר נהיינו רעבים ודיי סיימנו את כל מה שהבאנו לאכול יום לפני בגלל שהיינו קצת שתויים ואכלנו פשוט בלי הפסקה. מצאנו מסעדה ממש חמודה והתיישבנו שם לאכול צהריים. אכלנו ממש הרבה יותר מידיי וכנראה היינו צריכים בערך חצי מהכמות שהזמנו אבל דווקא יצא טוב כי יכלנו לקחת את מה שנשאר בטייק אוואי וככה בעצם יהיה לנו כבר אוכל מוכן לאכול בערב השני של הקמפינג שלנו. חזרנו לאותו מקום שהיינו בו והקמנו עוד הפעם את האוהלים, בילינו את אותו הערב בדיוק כמו הערב הקודם ובוקר אחרי כבר התקפלנו וחזרנו הביתה.","f"
"זה קרה לפני כמה חודשים, אני יושב בסלון ורואה חדשות ולפתע מקבל סמס שבאתי במגע עם חולה מאומת  כבר מיד התחלתי להריץ את השבוע האחרון בראש ולנסות להבין איפה זה היה יכול לקרות שום דבר חריג לא עלה.
מתקשר למשרד הבריאות לשאול מה בעצם אני אמור לעשות עכשיו קיבלתי הנחיות להשאר בבדידוד שבוע ולאחר מכן לנסוע למתחם הבדיקות ברכב הפרטי ולהבדק.
כך השבוע הזה הייתי מתוח, מודע לנשימה שלי בכל רגע נתון חיפשתי תסמינים נפוצים בכל רחבי האינטרנט כדי לבדוק אם יש משהו מצלצל מוכר. 
ובכן שבוע עבר והגיע הזמן לנסוע למתחם לבדיקת הקורונה שצריך לעשות אני נוסע למתחם הבדיקה (הממוקם בחניון), ראיתי שני מכוניות ממתינות במה שנראה כמו הכניסה לדרייב-טרו והחלטתי לעמוד בתור מאחוריהן ולחכות רק שני מכוניות היו מולי, אז חשבתי "" איזה יופי זה יהיה מהיר""
חמש דקות עברו והתור לא זז לשום מקום בכלל אני די סבלני, אבל בכל זאת לא הצלחתי להבין מה לוקח כל כך הרבה זמן לבדוק רכב אחד! כשהגעתי למתחם זה היה באיזור זמן כזה של ארוחת הצהריים אז הנחתי שהצוות כנראה היה בהפסקה. המשכתי לחכות... 10 דקות עוברות. בשלב זה חשבתי לעצמי שאם התור לא ממשיך לזוז אולי פשוט כדאי לי להסתובב ולנסוע למתחם אחר בתקווה ששם המצב סביר יותר.
הוצאתי את הטלפון, פתחתי פייסבוק, בדקתי את הפיד. עברתי על אינסטגרם. עניתי על הודעות בוואטסאפ.
התור עדיין לא זז לשום מקום. הדלקתי שירים ביוטיוב. מחכה... כלום.
עברו כבר כנראה קרוב ל-20 דקות מאז שאני הגעתי למתחם כבר
ואז אני רואה בן אדם הולך ומתקרב לעבר המכונית שלי. הוא רואה אותי, הוא מפסיק ללכת, הוא בודק את המכונית מולי, חוזר בחזרה בודק את המכונית הראשונה בתור, חוזר בחזרה ומתקרב לחלון שלי.

איש: היי, למה אתה חונה כאן?

אני: אני מחכה בתור לבדיקה.

איש: אתה יודע שהמכונית שלפניך ריקה, נכון? אין איש בתוכה.

אני: הא ?? למה מכונית ריקה ממתינה בתור לבדיקה?

איש: מתחם הבדיקה לא פעיל כרגע, המכוניות מולך פשוט חונות כאן.

אני: אההההההההההה. אוקיי. חה חה...

כשלקחתי רברס ראיתי הפנים שלי במראה. גוון אדום חדש שלא ראיתי כמותו. 
אבל מה שחשוב הבדיקה יצאה בסופו של דבר שלילית.","m"
"הסיפור על איך שברתי את השעון היד הראשון שקניתי.
לפני שהתגייסתי לצבא, אחי הגדול החליט להפתיעה אותי הביא לי שני שעוני יד במתנה, שעון אחד הוא שוויצרי יוקרתי ממתכת של חברת טיסות, שעון איכותי עם זכוכית נגד שריטות.
והשעון השני הוא שעון לצבא , שעון מגומי וסיליקון של חברת ג'י שוק, שנחשבים השעונים הכי איכותיים של חברת השעונים המוכרת שכולם מכירים וסומכים עליה, קסיו.
בזמן שהייתי בצבא ובזמן טירונות הארוכה של קורס מפקדי טירונים שלקחה שישה חודשים, השעון שאחי הגדול הביא לי במתנה נהרס, וכבר לא היה שווה להשקיע את הכסף כדי לתקן אותו.
לאחר שהשעון נהרס הצבתי לעצמי מטרה, המטרה היית לחסוך כסף לאורך כל השירות הצבאי וברגע שאשתחרר מהצבא, אפנק את עצמי וארכוש שעון יוקרתי איכותי.
ממש לאחר שסיימתי את הטירונות שמרתי את השעון שנהרס בתוך הקופסה שלו והשארתי אותו לאורך כל השירות בבית.
השתמשתי לאורך כל המשך השירות הצבאי בשעון הגומי מחברת ג'י שוק שאחי גם קנה לי,
השעון מיועד לצבא בגלל שהוא עמיד מאוד לזעזועים, נפילות , אבק , לכלוך, בוץ, ובנוסף עמיד מאוד למים.
בקיצור השעון הזה יכול לשרוד גם מלחמה.
השירות הצבאי המשיך לאט לאט, וככה פתאום נשאר שנתיים לשחרור, ולאט לאט נשאר רק שנה לשחרור,
ובלי לשים לב נשארו סך הכל כמה ימים בודדים לשחרור, ואני כמובן לא שכחתי מהמטרה שהצבתי לעצמי.

הגיע היום המיוחד שבוא השתחררתי, גזרתי את החוגר הצבאי בדיוק כמו כולם, וממש כמה ימים בודדים לאחר השחרור, הלכתי לקניון ונכנסתי לחנות שעונים לחפש לי שעון.
לא הבנתי כל כך בשעונים אך ידעתי שיש חברות שנחשבות יותר מאחרות, אבל מה שהכי חשוב לי היה, שאתחבר לאיך השעון נראה ואיך הוא יושב על היד שלי.
לאחר שעה ארוכה בחנות, ולאחר הרבה מאוד התלבטויות, החלטתי וסוף סוף ללכת על שעון כסוף עם רצועה שחורה מעור של החברה המפורסמת ארמני. השעון היה לא זול בכלל, כמעט כמו מחיר של פלאפון נייד חדש.
לקחתי את השעון ביחד עם הקופסה שלו וחזרתי הביתה , הנחתי אותו במגירה שלי בארון.
וממש כמה ימים לאחר שקניתי אותו, רציתי ללכת לסרט, הוצאתי אותו מהקופסא ורציתי לשים אותו על היד,
אבל מה שקרה בעצם, לא שמתי לב שפספסתי את החור ברצועה של השעון, והשעון נפל בחדר  על הצד של הזכוכית על הרצפה, ונשברה הזכוכית. 
והייתי צריך לשלם על תיקון של הזכוכית עוד לפני שהספקתי ללבוש את השעון החדש שלי.","m"
